timestamp,query,matched_title,recommendations_count,latency_ms,status
2026-04-23T20:02:06.110730,inception,Inception,10,7239.45,success
2026-04-23T20:02:06.126035,inception,Inception,10,5127.23,success
2026-04-23T20:02:09.050042,inception,Inception,10,3005.96,success
2026-04-23T20:04:50.933678,Ready,RED,10,5086.13,success
2026-04-23T20:05:07.968230,Golmaal,Colombiana,10,3554.66,success
2026-04-23T20:05:07.982794,Golmaal,Colombiana,10,5137.69,success
2026-04-23T20:05:35.474525,Fast & Furius,2 Fast 2 Furious,10,5245.82,success
2026-04-23T20:05:59.164862,wwe,Water,10,4702.06,success
2026-04-23T20:06:17.392279,almighty bruno,Midnight Run,10,4468.53,success
2026-04-23T20:06:18.512291,almighty bruno,Midnight Run,10,4200.19,success
2026-04-23T20:06:41.844251,Fight club,Fight Club,10,5245.7,success
2026-04-23T20:06:57.065877,Tyler Durden,Little Children,10,3627.97,success
2026-04-23T20:07:14.909332,it,Hits,10,4047.58,success
2026-04-23T20:07:46.885377,Friends,Reds,10,3676.17,success
2026-04-23T20:08:07.666409,Virginia,I Origins,10,3861.65,success
2026-04-23T20:08:33.097064,Scorpion,Sicario,10,4180.51,success
2026-04-25T07:56:55.504188,inception,Inception,10,6234.15,success
2026-04-25T07:56:55.544724,inception,Inception,10,2389.07,success
2026-04-25T07:56:56.596342,inception,Inception,10,2495.1,success
2026-04-25T07:57:27.112020,The Dark Knight,The Dark Knight,10,3062.96,success
2026-04-25T07:57:27.811011,The Dark Knight,The Dark Knight,10,2077.94,success
2026-04-25T07:57:29.244851,The Dark Knight,The Dark Knight,10,2231.05,success
2026-04-25T07:59:45.060686,loki,Lolita,10,3529.89,success
2026-04-25T08:01:24.653986,romance,Trance,10,3076.25,success
2026-04-25T08:05:22.481128,Action,Vacation,10,3090.81,success
2026-04-25T08:09:12.247588,romance,Trance,10,2254.58,success
2026-04-25T08:41:38.011481,romance,Proof of Life,10,3088.32,success
2026-04-25T08:41:53.245859,superhero,Daybreakers,10,2480.92,success
2026-04-25T08:42:05.855527,drama,Blood and Wine,10,2510.68,success
2026-04-25T08:45:00.723794,loki,Lolita,10,1998.98,success
2026-04-25T08:45:20.621017,Tom Hiddleston,Tombstone,10,3798.67,success
2026-04-25T08:45:28.495017,Tom Hiddleston,Tombstone,10,9452.55,success
2026-04-25T08:45:42.905654,RobertDownyjr,Rob Roy,10,2625.96,success
2026-04-25T08:45:57.173606,romance,Whatever It Takes,10,2569.62,success
2026-04-25T08:46:27.496591,scifi,Capricorn One,10,2561.49,success
2026-04-25T09:44:19.234989,romance,The Broadway Melody,10,3349.95,success
2026-04-25T09:53:21.939260,romance,,0,0,error
2026-04-25T10:31:12.743659,Inception,Inception,10,9673.26,success
